香港(测试),#genre#
深圳宝安频道,http://www.kem.ink:8188/rtp/239.77.1.67:5146
茂名文化生活,http://www.kem.ink:8188/rtp/239.77.0.207:5146
茂名综合,http://www.kem.ink:8188/rtp/239.77.0.206:5146

央视(外网),#genre#
CCTV-1综合,http://58.32.35.109:5488/rtp/233.18.204.52:5140
CCTV-2经济,http://58.32.35.109:5488/rtp/233.18.204.68:5140
CCTV-3综艺,http://58.32.35.109:5488/rtp/233.18.204.69:5140
CCTV-4国际,http://58.32.35.109:5488/rtp/233.18.204.70:5140
CCTV-5体育,http://58.32.35.109:5488/rtp/233.18.204.71:5140
CCTV-5+育赛事,http://58.32.35.109:5488/rtp/233.18.204.67:5140
CCTV-6电影,http://58.32.35.109:5488/rtp/233.18.204.72:5140
CCTV-7军事,http://58.32.35.109:5488/rtp/233.18.204.73:5140
CCTV-8电视剧,http://58.32.35.109:5488/rtp/233.18.204.74:5140
CCTV-9记录,http://58.32.35.109:5488/rtp/233.18.204.75:5140
CCTV-10科教,http://58.32.35.109:5488/rtp/233.18.204.76:5140
CCTV-11戏曲,http://58.32.35.109:5488/rtp/233.18.204.77:5140
CCTV-12社会与法,http://58.32.35.109:5488/rtp/233.18.204.78:5140
CCTV-13新闻,http://58.32.35.109:5488/rtp/233.18.204.79:5140
CCTV-14少儿,http://58.32.35.109:5488/rtp/233.18.204.80:5140
CCTV-15音乐,http://58.32.35.109:5488/rtp/233.18.204.81:5140
CCTV-16奥林匹克,http://58.32.35.109:5488/rtp/233.18.204.82:5140
CCTV-17农业农村,http://58.32.35.109:5488/rtp/233.18.204.83:5140
CGTN,http://58.32.35.109:5488/rtp/233.18.204.28:5140
风云足球,http://58.32.35.109:5488/rtp/233.18.204.176:5140
央视台球,http://58.32.35.109:5488/rtp/233.18.204.177:5140
兵器科技,http://58.32.35.109:5488/rtp/233.18.204.178:5140
世界地理,http://58.32.35.109:5488/rtp/233.18.204.179:5140
女性时尚,http://58.32.35.109:5488/rtp/233.18.204.180:5140
高尔夫网球,http://58.32.35.109:5488/rtp/233.18.204.181:5140
怀旧剧场,http://58.32.35.109:5488/rtp/233.18.204.182:5140
风云剧场,http://58.32.35.109:5488/rtp/233.18.204.183:5140
第一剧场,http://58.32.35.109:5488/rtp/233.18.204.184:5140
风云音乐,http://58.32.35.109:5488/rtp/233.18.204.185:5140
央视文化精品,http://58.32.35.109:5488/rtp/233.18.204.186:5140
早期教育,http://58.32.35.109:5488/rtp/233.18.204.187:5140

卫视(外网),#genre#
湖南卫视,http://58.32.35.109:5488/rtp/233.18.204.86:5140
浙江卫视,http://58.32.35.109:5488/rtp/233.18.204.84:5140
江苏卫视,http://58.32.35.109:5488/rtp/233.18.204.85:5140
东方卫视,http://58.32.35.109:5488/rtp/233.18.204.51:5140
北京卫视,http://58.32.35.109:5488/rtp/233.18.204.87:5140
广东卫视,http://58.32.35.109:5488/rtp/233.18.204.88:5140
深圳卫视,http://58.32.35.109:5488/rtp/233.18.204.89:5140
东南卫视,http://58.32.35.109:5488/rtp/233.18.204.94:5140
黑龙江卫视,http://58.32.35.109:5488/rtp/233.18.204.90:5140
山东卫视,http://58.32.35.109:5488/rtp/233.18.204.91:5140
湖北卫视,http://58.32.35.109:5488/rtp/233.18.204.92:5140
安徽卫视,http://58.32.35.109:5488/rtp/233.18.204.93:5140
江西卫视,http://58.32.35.109:5488/rtp/233.18.204.95:5140
辽宁卫视,http://58.32.35.109:5488/rtp/233.18.204.96:5140
天津卫视,http://58.32.35.109:5488/rtp/233.18.204.97:5140
四川卫视,http://58.32.35.109:5488/rtp/233.18.204.99:5140
重庆卫视,http://58.32.35.109:5488/rtp/233.18.204.100:5140
贵州卫视,http://58.32.35.109:5488/rtp/233.18.204.101:5140
海南卫视,http://58.32.35.109:5488/rtp/233.18.204.102:5140
河北卫视,http://58.32.35.109:5488/rtp/233.18.204.103:5140
三沙卫视,http://58.32.35.109:5488/rtp/233.18.204.172:5140
河南卫视,http://58.32.35.109:5488/rtp/233.18.204.105:5140
云南卫视,http://58.32.35.109:5488/rtp/233.18.204.106:5140
广西卫视,http://58.32.35.109:5488/rtp/233.18.204.107:5140
吉林卫视,http://58.32.35.109:5488/rtp/233.18.204.108:5140
甘肃卫视,http://58.32.35.109:5488/rtp/233.18.204.110:5140
青海卫视,http://58.32.35.109:5488/rtp/233.18.204.112:5140
宁夏卫视,http://58.32.35.109:5488/rtp/233.18.204.230:5140
山西卫视,http://58.32.35.109:5488/rtp/233.18.204.211:5140
西藏卫视,http://58.32.35.109:5488/rtp/233.18.204.222:5140
陕西卫视,http://58.32.35.109:5488/rtp/233.18.204.223:5140
内蒙古卫视,http://58.32.35.109:5488/rtp/233.18.204.217:5140
新疆卫视,http://58.32.35.109:5488/rtp/233.18.204.220:5140
兵团卫视,http://58.32.35.109:5488/rtp/233.18.204.221:5140
延边卫视,http://58.32.35.109:5488/rtp/233.18.204.155:5140
中国教育-1,http://58.32.35.109:5488/rtp/233.18.204.98:5140
中国教育-2,http://58.32.35.109:5488/rtp/233.18.204.154:5140
中国教育-4,http://58.32.35.109:5488/rtp/233.18.204.111:5140
CHC家庭影院,http://58.32.35.109:5488/rtp/233.18.204.173:5140
CHC动作电影,http://58.32.35.109:5488/rtp/233.18.204.174:5140
CHC影迷电影,http://58.32.35.109:5488/rtp/233.18.204.175:5140
卡酷少儿,http://58.32.35.109:5488/rtp/233.18.204.109:5140
嘉佳卡通,http://58.32.35.109:5488/rtp/233.18.204.151:5140
金鹰卡通,http://58.32.35.109:5488/rtp/233.18.204.113:5140

台湾,#genre#
TVBS新闻台,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8#rtmp://59.124.75.150/sat/tv551
民视新闻台,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
台视新闻台,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
中视新闻台,http://50.7.218.42:8278/ca73a13c37/playlist.m3u8?tid=mee3f06f682eb&ct=18335&tsum=7491cceca17c1e2af05824583855f8bd
中视,rtmp://59.124.75.150/sat/tv091
华视,rtmp://59.124.75.150/sat/tv111
台视,rtmp://59.124.75.150/sat/tv071
民视,rtmp://59.124.75.150/sat/tv051
三立台湾,http://59.125.101.187:8501/http/60.251.39.91:8081/hls/65/807/ch20.m3u8
东森电影台,http://120.84.96.29:808/hls/32/index.m3u8
东森洋片台,http://120.84.96.29:808/hls/33/index.m3u8
LSTime电影台,http://120.84.96.29:808/hls/35/index.m3u8
TVBS欢乐台,rtmp://59.124.75.150/sat/tv421
爱尔达体育一,rtmp://59.124.75.150/sat/md011
ELEVEN体育二台,rtmp://59.124.75.150/sat/md041
博斯运动二台,rtmp://59.124.75.150/sat/md051

台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
三立新闻,http://live4play.uk/livehttpplay?channel_id=10126
三立综合,http://live4play.uk/livehttpplay?channel_id=12038
三立都会,http://live4play.uk/livehttpplay?channel_id=20100
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
东森财经,http://live4play.uk/livehttpplay?channel_id=20078
东森综合,http://live4play.uk/livehttpplay?channel_id=20104
东森电影,http://live4play.uk/livehttpplay?channel_id=20077
东森洋片,http://live4play.uk/livehttpplay?channel_id=20080
东森戏剧,http://live4play.uk/livehttpplay?channel_id=20072
民视新闻台,http://live4play.uk/livehttpplay?channel_id=20097
美亚C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
纬来电影,http://live4play.uk/livehttpplay?channel_id=20199
纬来精采,http://61.221.215.25:8800/hls/48/index.m3u8
TVBS新闻台,http://61.221.215.25:8800/hls/9/index.m3u8
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u
八大戏剧台,http://61.221.215.25:8800/hls/39/index.m3u8
靖天电影,http://live4play.uk/livehttpplay?channel_id=12037
ELEVEN体育1,https://stream1.freetv.fun/eltaai-er-da-ti-yu--1--wj-1.ctv
ELEVEN体育2,https://stream1.freetv.fun/eltaai-er-da-ti-yu--2--wj-1.ctv
ELEVEN体育3,https://stream1.freetv.fun/eltaai-er-da-ti-yu--3--wj-1.ctv




