香港(测试),#genre#
重温经典,http://38.76.210.165:20002/163189/cwjd?163189&token=nishisb
五星体育,http://38.76.210.165:20005/163189/wxty?163189&token=nishisb
民视影剧台,http://38.76.210.165:20004/163189/msyj?163189&token=nishisb
公视戏剧,http://38.76.210.165:20004/163189/gsxj?163189&token=nishisb
采昌影剧台,http://38.76.210.165:20004/163189/ccyj?163189&token=nishisb
靖天映画,http://38.76.210.165:20004/163189/jtyh?163189&token=nishisb
靖天戏剧台,http://38.76.210.165:20004/163189/jtxj?163189&token=nishisb
靖天电影台,http://38.76.210.165:20004/163189/jtdy?163189&token=nishisb
靖洋戏剧台,http://38.76.210.165:20004/163189/jyxj?163189&token=nishisb
影迷数位电影台,http://38.76.210.165:20004/163189/ymswdyt?163189&token=nishisb
amc电影台,http://38.76.210.165:20004/163189/amc?163189&token=nishisb
CinemaWorld,http://38.76.210.165:20004/163189/cinemaworld?163189&token=nishisb
My Cinema Europe,http://38.76.210.165:20004/163189/mce?163189&token=nishisb
经典电影台,http://38.76.210.165:20004/163189/jddyt?163189&token=nishisb
CMusic,http://38.76.210.165:20004/163189/cmusic?163189&token=nishisb
DreamWorks梦工厂动画,http://38.76.210.165:20004/163189/dreamworks?163189&token=nishisb
精选动漫台,http://38.76.210.165:20004/163189/jxdmt?163189&token=nishisb
金光布袋戏,http://38.76.210.165:20004/163189/jgbdx?163189&token=nishisb
TVB Plus,http://38.76.210.165:200010/smt/163189/tvbp?163189&token=nishisb
纬来电影台,http://38.76.210.165:200010/smt/163189/wldy?163189&token=nishisb
纬来戏剧台,http://38.76.210.165:200010/smt/163189/wlxj?163189&token=nishisb
纬来体育台,http://38.76.210.165:200010/smt/163189/wlty?163189&token=nishisb
龙祥时代,http://38.76.210.165:200010/smt/163189/lxsd?163189&token=nishisb
东森电影,http://38.76.210.165:200010/smt/163189/dsdy?163189&token=nishisb
东森戏剧,http://38.76.210.165:200010/smt/163189/dsxj?163189&token=nishisb
东森洋片,http://38.76.210.165:200010/smt/163189/dsyp?163189&token=nishisb




广东(内网),#genre#
广东体育高清,http://192.168.1.1:4000/udp/239.77.0.112:5146
广东体育超清,http://192.168.1.1:4000/udp/239.77.0.168:5146

广东珠江高清,http://192.168.1.1:4000/udp/239.77.0.1:5146
广东珠江超清,http://192.168.1.1:4000/udp/239.77.0.114:5146

广东新闻高清,http://192.168.1.1:4000/udp/239.77.0.173:5146

广东影视高清,http://192.168.1.1:4000/udp/239.77.0.217:5146

广东卫视高清,http://192.168.1.1:4000/udp/239.77.1.19:5146
广东卫视高清,http://192.168.1.1:4000/udp/239.77.1.152:5146
广东卫视高清,http://192.168.1.1:4000/udp/239.77.0.84:5146
广东卫视超清,http://192.168.1.1:4000/udp/239.77.0.166:5146
大湾区卫视高清,http://192.168.1.1:4000/udp/239.77.0.215:5146

广东少儿高清,http://192.168.1.1:4000/udp/239.77.0.250:5146

嘉佳卡通高清,http://192.168.1.1:4000/udp/239.77.0.179:5146

广州综合高清,http://192.168.1.1:4000/udp/239.253.43.71:5146

广州新闻高清,http://192.168.1.1:4000/udp/239.253.43.72:5146

广州影视高清,http://192.168.1.1:4000/udp/239.253.43.73:5146

深圳卫视高清,http://192.168.1.1:4000/udp/239.77.1.3:5146
深圳卫视高清,http://192.168.1.1:4000/udp/239.77.1.148:5146
深圳卫视高清,http://192.168.1.1:4000/udp/239.77.0.92:5146
深圳卫视超清,http://192.168.1.1:4000/udp/239.77.0.130:5146

佛山公共高清,http://192.168.1.1:4000/udp/239.253.43.53:5146
佛山南海高清,http://192.168.1.1:4000/udp/239.253.43.54:5146
佛山顺德高清,http://192.168.1.1:4000/udp/239.253.43.55:5146
佛山影视高清,http://192.168.1.1:4000/udp/239.253.43.56:5146
佛山综合高清,http://192.168.1.1:4000/udp/239.253.43.57:5146

广东（外网）,#genre#
广东珠江,http://r.jdshipin.com/sE5vO
广东体育,http://r.jdshipin.com/LiYdg
广州综合台,http://i.iill.top:12838/gztv/zhonghe
广州新闻,http://i.iill.top:12838/gztv/xinwen
南国都市4K,http://i.iill.top:12838/gztv/shenghuo


央视(内网),#genre#
CCTV-1高清,http://192.168.1.1:4000/udp/239.77.1.17:5146
CCTV-1高清,http://192.168.1.1:4000/udp/239.77.1.144:5146
CCTV-1高清(CCTV -1综合高清),http://192.168.1.1:4000/udp/239.77.0.86:5146
CCTV-1超清,http://192.168.1.1:4000/udp/239.77.0.129:5146
CCTV-2高清,http://192.168.1.1:4000/udp/239.77.1.158:5146

CCTV-2高清测试(CCTV -2财经高清),http://192.168.1.1:4000/udp/239.77.0.137:5146
CCTV-3高清,http://192.168.1.1:4000/udp/239.77.0.169:5146

CCTV-4高清,http://192.168.1.1:4000/udp/239.77.1.163:5146
CCTV-4高清,http://192.168.1.1:4000/udp/239.77.1.166:5146
CCTV-4高清,http://192.168.1.1:4000/udp/239.77.0.78:5146
CCTV-4美洲高清,http://192.168.1.1:4000/udp/239.253.43.121:5146
CCTV-4欧洲高清,http://192.168.1.1:4000/udp/239.253.43.120:5146
CCTV-5高清,http://192.168.1.1:4000/udp/239.77.0.170:5146

CCTV-5+高清,http://192.168.1.1:4000/udp/239.77.0.87:5146
CCTV-5+高清,http://192.168.1.1:4000/udp/239.77.1.31:5146
CCTV-6高清,http://192.168.1.1:4000/udp/239.77.0.171:5146

CCTV-7高清,http://192.168.1.1:4000/udp/239.77.1.159:5146

CCTV-7高清测试(CCTV -7军事农业高清),http://192.168.1.1:4000/udp/239.77.0.138:5146
CCTV-8高清,http://192.168.1.1:4000/udp/239.77.0.172:5146

CCTV-9高清,http://192.168.1.1:4000/udp/239.77.1.160:5146

CCTV-9高清测试,http://192.168.1.1:4000/udp/239.77.0.135:5146
CCTV-10高清,http://192.168.1.1:4000/udp/239.77.1.113:5146

CCTV-10高清测试(CCTV-10科教高清),http://192.168.1.1:4000/udp/239.77.0.134:5146
CCTV-11高清,http://192.168.1.1:4000/udp/239.77.1.238:5146
CCTV-12高清,http://192.168.1.1:4000/udp/239.77.1.109:5146

CCTV-12高清测试,http://192.168.1.1:4000/udp/239.77.0.136:5146
CCTV-13高清,http://192.168.1.1:4000/udp/239.77.0.188:5146
CCTV-13高清,http://192.168.1.1:4000/udp/239.253.43.196:5146
CCTV-14高清,http://192.168.1.1:4000/udp/239.77.1.161:5146

CCTV-14高清测试,http://192.168.1.1:4000/udp/239.77.0.133:5146
CCTV-15高清,http://192.168.1.1:4000/udp/239.77.1.239:5146
CCTV-16高清,http://192.168.1.1:4000/udp/239.77.0.165:5146
CCTV-16高清,http://192.168.1.1:4000/udp/239.77.1.76:5146
CCTV-17高清,http://192.168.1.1:4000/udp/239.77.1.121:5146
CCTV-17农业高清,http://192.168.1.1:4000/udp/239.77.0.198:5146
CGTN英语高清,http://192.168.1.1:4000/udp/239.77.0.199:5146
CGTN Documentary高清,http://192.168.1.1:4000/udp/239.253.43.122:5146
CGTN西班牙语高清,http://192.168.1.1:4000/udp/239.77.0.221:5146
CGTN法语高清,http://192.168.1.1:4000/udp/239.77.0.228:5146
CGTN阿拉伯语高清,http://192.168.1.1:4000/udp/239.253.43.200:5146
CGTN俄语高清,http://192.168.1.1:4000/udp/239.253.43.201:5146

国内4K(内网),#genre#
广东卫视 4K,http://192.168.1.1:4000/udp/239.77.0.65:5146
广东卫视 50p 4K,http://192.168.1.1:4000/udp/239.77.0.66:5146
广东综艺(4k),http://192.168.1.1:4000/udp/239.77.0.244:5146
广东综艺(4k),http://192.168.1.1:4000/udp/239.77.0.245:5146
深圳卫视 宽色域 25p 4K,http://192.168.1.1:4000/udp/239.77.0.67:5146
深圳卫视 25p 4K,http://192.168.1.1:4000/udp/239.77.1.14:5146
深圳卫视 4K,http://192.168.1.1:4000/udp/239.77.1.191:5146
CCTV-4K 4K,http://192.168.1.1:4000/udp/239.77.0.194:5146
CCTV-4K 4K,http://192.168.1.1:4000/udp/239.77.1.180:5146
湖南卫视 4K,http://192.168.1.1:4000/udp/239.77.0.56:5146
浙江卫视 4K,http://192.168.1.1:4000/udp/239.77.0.58:5146
江苏卫视 4K,http://192.168.1.1:4000/udp/239.77.0.57:5146
东方卫视 4K,http://192.168.1.1:4000/udp/239.77.0.59:5146
北京卫视 4K,http://192.168.1.1:4000/udp/239.77.0.2:5146
北京卫视 宽色域 50p 4K,http://192.168.1.1:4000/udp/239.77.0.3:5146
北京卫视 4K,http://192.168.1.1:4000/udp/239.77.0.233:5146
北京卫视 4K,http://192.168.1.1:4000/udp/239.77.0.153:5146
山东卫视 4K,http://192.168.1.1:4000/udp/239.77.0.61:5146
四川卫视 4K,http://192.168.1.1:4000/udp/239.77.0.60:5146

卫视(内网),#genre#
湖南卫视高清,http://192.168.1.1:4000/udp/239.77.1.5:5146
湖南卫视高清 (CAVS),http://192.168.1.1:4000/udp/239.77.1.129:5146
湖南卫视高清,http://192.168.1.1:4000/udp/239.77.0.88:5146
湖南卫视超清,http://192.168.1.1:4000/udp/239.77.0.127:5146
浙江卫视高清,http://192.168.1.1:4000/udp/239.77.1.33:5146
浙江卫视高清 (CAVS),http://192.168.1.1:4000/udp/239.77.1.150:5146
浙江卫视高清,http://192.168.1.1:4000/udp/239.77.0.89:5146
浙江卫视超清 (CAVS),http://192.168.1.1:4000/udp/239.77.0.125:5146
江苏卫视高清,http://192.168.1.1:4000/udp/239.77.1.18:5146
江苏卫视高清 (CAVS),http://192.168.1.1:4000/udp/239.77.1.149:5146
江苏卫视高清,http://192.168.1.1:4000/udp/239.77.0.90:5146
江苏卫视超清 (CAVS),http://192.168.1.1:4000/udp/239.77.0.126:5146
东方卫视高清,http://192.168.1.1:4000/udp/239.77.1.218:5146
东方卫视高清 (CAVS),http://192.168.1.1:4000/udp/239.77.1.156:5146
东方卫视高清,http://192.168.1.1:4000/udp/239.77.0.98:5146
安徽卫视高清,http://192.168.1.1:4000/udp/239.77.1.92:5146
安徽卫视高清 (CAVS),http://192.168.1.1:4000/udp/239.77.1.157:5146
安徽卫视高清,http://192.168.1.1:4000/udp/239.77.0.183:5146
北京卫视高清,http://192.168.1.1:4000/udp/239.77.1.4:5146
北京卫视高清,http://192.168.1.1:4000/udp/239.77.1.151:5146
北京卫视高清,http://192.168.1.1:4000/udp/239.77.0.91:5146
天津卫视高清,http://192.168.1.1:4000/udp/239.77.1.141:5146
天津卫视高清,http://192.168.1.1:4000/udp/239.77.1.182:5146
天津卫视高清,http://192.168.1.1:4000/udp/239.77.0.97:5146
天津卫视超清,http://192.168.1.1:4000/udp/239.77.0.131:5146
山东卫视高清,http://192.168.1.1:4000/udp/239.77.1.142:5146
山东卫视高清 (CAVS),http://192.168.1.1:4000/udp/239.77.1.153:5146
山东卫视高清,http://192.168.1.1:4000/udp/239.77.0.94:5146
山东卫视超清 (CAVS),http://192.168.1.1:4000/udp/239.77.0.132:5146
江西卫视高清,http://192.168.1.1:4000/udp/239.77.1.219:5146
江西卫视高清,http://192.168.1.1:4000/udp/239.77.0.149:5146
湖北卫视高清,http://192.168.1.1:4000/udp/239.77.1.93:5146
湖北卫视高清,http://192.168.1.1:4000/udp/239.77.1.174:5146
湖北卫视高清,http://192.168.1.1:4000/udp/239.77.0.95:5146
湖北卫视超清,http://192.168.1.1:4000/udp/239.77.0.128:5146
辽宁卫视高清,http://192.168.1.1:4000/udp/239.77.1.103:5146
辽宁卫视 高清,http://192.168.1.1:4000/udp/239.77.0.123:5146
辽宁卫视超清 (CAVS),http://192.168.1.1:4000/udp/239.77.0.161:5146
黑龙江卫视高清,http://192.168.1.1:4000/udp/239.77.1.6:5146
黑龙江卫视高清,http://192.168.1.1:4000/udp/239.77.1.179:5146
黑龙江卫视高清,http://192.168.1.1:4000/udp/239.77.0.93:5146
黑龙江卫视超清,http://192.168.1.1:4000/udp/239.77.0.124:5146
贵州卫视高清,http://192.168.1.1:4000/udp/239.77.1.221:5146
